ID,_Use,_PositionIndex,_Title,_Image,_Index,_Descript,_StartYear,_StartMonth,_StartDay,_StartHour,_StartMinute,_EndYear,_EndMonth,_EndDay,_EndHour,_EndMinute,_Url,_NaverUrl,_EventType,_EventID,_EventConnectID,_Point_Type
25040401,1,1,ログインイベント,EventBanner002.png,1,??? 6/5,2025,4,17,10,0,2025,5,21,23,59,https://la.happytuk.co.jp/la/index,null,2,25040402,25040403,0
,,,（受け取り：6/5）,,,,,,,,,,,,,,,,,,,
25040411,1,2,18thBox,EventBanner014.png,4,18????,2025,4,17,10,0,2025,5,22,9,0,https://landing.happytuk.co.jp/template/la/event/2025/18th_Anniversary/01.html,null,1,25040412,0,0
24101611,1,3,週間プレゼントイベント,EventBanner002.png,2,?? ????,2025,4,17,10,0,2025,5,22,9,0,https://landing.happytuk.co.jp/template/la/event/2025/18th_Anniversary/01.html,null,1,22102803,0,0
25040421,1,4,メインイベント,EventBanner002.png,3,?????,2025,4,17,10,0,2025,5,22,9,0,https://landing.happytuk.co.jp/template/la/event/2025/18th_Anniversary/index.html,null,1,25040422,0,0
25040431,1,5,イベントミッション,EventBanner004.png,3,?????,2025,4,17,10,0,2025,5,22,9,0,https://la.happytuk.co.jp/la/index,null,4,25040432,0,2
25040441,1,6,イベントミッション報酬交換,EventBanner004.png,4,???? 6/5,2025,4,17,10,0,2025,5,22,9,0,https://la.happytuk.co.jp/la/index,null,5,25040442,0,2
,,,（受け取り：6/5）,,,,,,,,,,,,,,,,,,,
24111841,1,7,新規復帰イベント,EventBanner014.png,3,???????,2024,12,5,10,0,2050,12,31,9,0,https://landing.happytuk.co.jp/template/la/event/2024/NEWRETURN_event/index.html,null,1,24111842,0,0
24120561,1,8,Ultra,EventBanner015.png,2,?????,2024,12,19,10,0,2025,9,25,9,0,https://landing.happytuk.co.jp/template/la/event/2024/Ultra4/normal.html,null,1,24120562,0,0
23030761,1,9,ベリーさんのお願い！トキメキボックス！！,EventBanner003.png,3,????????,2025,4,17,10,0,2025,5,22,9,0,https://la.happytuk.co.jp/game/la/event/detail/?contentNo=23726,null,1,22092206,0,0
24110121,1,10,【OTP登録で報酬GET！】セキュリティ強化イベント,EventBanner003.png,1,OTP,2025,3,27,10,0,2025,4,24,9,0,https://la.happytuk.co.jp/game/la/event/detail/?contentNo=23708,null,1,22092207,0,0
22120110,1,11,ガイアの鍵イベント,EventBanner003.png,2,???,2022,3,17,10,0,2050,3,16,9,0,https://landing.happytuk.co.jp/template/la/event/2024/Key_event/index.html,null,1,22092208,0,0
25030601,1,12,ログインイベント,EventBanner002.png,1,??? 5/8,2025,3,18,10,0,2025,4,16,23,59,https://la.happytuk.co.jp/la/index,null,2,25030602,25030603,0
,,,（受け取り：5/8）,,,,,,,,,,,,,,,,,,,
25030631,1,13,イベントミッション報酬交換,EventBanner004.png,4,???? 5/8,2025,3,18,10,0,2025,4,17,9,0,https://la.happytuk.co.jp/la/index,null,5,25030632,0,1
,,,（受け取り：5/8）,,,,,,,,,,,,,,,,,,,
